Name,Birth Date,Phone Number,Citizen,Country,Zip Code,Year,Time,Longitude,Latitude,Father_Name,Birth Date,Phone Number,Citizen,Country,Zip Code,Year,Time,Longitude,Latitude,Mother_Name,Birth Date,Phone Number,Citizen,Country
Emily,2004-02-17,0117 496 0977,False,South Africa,11629,2007,09:08:52,-44.672580,28.629365,Yvonne,2004-02-17,0117 496 0977,False,South Africa,11629,2007,09:08:52,-44.672580,28.629365,Jason,2004-02-17,0117 496 0977,False,South Africa
Crystal,1988-04-24,+4428 9018885,True,Tanzania,55783,2016,19:12:03,170.627963,52.6095625,Christina,1988-04-24,+4428 9018885,True,Tanzania,55783,2016,19:12:03,170.627963,52.6095625,Amanda,1988-04-24,+4428 9018885,True,Tanzania
Connor,2000-06-03,020 74960508,False,Dominican Republic,21604,1987,16:28:43,-159.433630,-21.924351,Larry,2000-06-03,020 74960508,False,Dominican Republic,21604,1987,16:28:43,-159.433630,-21.924351,Alex,2000-06-03,020 74960508,False,Dominican Republic
Marcus,2016-07-31,+44(0)1414960470,True,Palestinian Territory,80434,2001,05:36:26,63.712361,36.4558505,Heather,2016-07-31,+44(0)1414960470,True,Palestinian Territory,80434,2001,05:36:26,63.712361,36.4558505,Holly,2016-07-31,+44(0)1414960470,True,Palestinian Territory
Sean,1977-06-02,+44(0)28 9018792,True,United Arab Emirates,24613,2009,12:01:16,55.301090,-27.7847135,Joseph,1977-06-02,+44(0)28 9018792,True,United Arab Emirates,24613,2009,12:01:16,55.301090,-27.7847135,Anthony,1977-06-02,+44(0)28 9018792,True,United Arab Emirates
Steven,2013-04-24,028 9018 0843,True,Norway,29293,2013,23:36:55,154.230771,-19.692355,Jason,2013-04-24,028 9018 0843,True,Norway,29293,2013,23:36:55,154.230771,-19.692355,Nicholas,2013-04-24,028 9018 0843,True,Norway
Michelle,2008-08-15,+44(0)1632 960910,True,Eritrea,26571,1982,07:16:19,-54.870834,-48.123037,Connor,2008-08-15,+44(0)1632 960910,True,Eritrea,26571,1982,07:16:19,-54.870834,-48.123037,Marc,2008-08-15,+44(0)1632 960910,True,Eritrea
Kristen,2009-08-30,0131 496 0540,False,Guyana,92750,2003,07:33:15,-58.359949,-20.978891,Judy,2009-08-30,0131 496 0540,False,Guyana,92750,2003,07:33:15,-58.359949,-20.978891,Karen,2009-08-30,0131 496 0540,False,Guyana
Emily,1972-08-09,(0114) 4960054,True,Malawi,87650,1996,07:32:05,-110.481465,-61.6481195,Katherine,1972-08-09,(0114) 4960054,True,Malawi,87650,1996,07:32:05,-110.481465,-61.6481195,Joe,1972-08-09,(0114) 4960054,True,Malawi
Laura,1983-11-28,0151 4960041,False,Trinidad and Tobago,69684,2011,12:07:23,-102.803180,-21.9977675,Manuel,1983-11-28,0151 4960041,False,Trinidad and Tobago,69684,2011,12:07:23,-102.803180,-21.9977675,Jim,1983-11-28,0151 4960041,False,Trinidad and Tobago
Brandon,1984-03-25,(0117)4960800,True,Oman,83410,1998,23:54:45,-1.545653,10.751582,Timothy,1984-03-25,(0117)4960800,True,Oman,83410,1998,23:54:45,-1.545653,10.751582,Dana,1984-03-25,(0117)4960800,True,Oman
Adam,1975-10-13,03069990009,True,Saudi Arabia,42767,1983,09:27:46,-113.504959,33.132894,Jennifer,1975-10-13,03069990009,True,Saudi Arabia,42767,1983,09:27:46,-113.504959,33.132894,Cindy,1975-10-13,03069990009,True,Saudi Arabia
Christopher,1972-10-21,+44(0)121 4960663,True,Romania,38241,2018,04:00:21,28.169178,-13.1530175,Dylan,1972-10-21,+44(0)121 4960663,True,Romania,38241,2018,04:00:21,28.169178,-13.1530175,Theresa,1972-10-21,+44(0)121 4960663,True,Romania
Joshua,2015-07-08,+44306 9990099,False,Saint Martin,60041,1980,06:33:04,-130.142159,3.536303,Andrea,2015-07-08,+44306 9990099,False,Saint Martin,60041,1980,06:33:04,-130.142159,3.536303,Jerry,2015-07-08,+44306 9990099,False,Saint Martin
David,1980-03-11,0151 4960824,False,Tunisia,22031,1988,10:38:20,-153.745138,-1.279337,Andrew,1980-03-11,0151 4960824,False,Tunisia,22031,1988,10:38:20,-153.745138,-1.279337,Christina,1980-03-11,0151 4960824,False,Tunisia
