Name,Birth Date,Phone Number,Citizen,Country,Zip Code,Year,Time,Longitude,Latitude
Virginia,1979-04-15,+44(0)1614960922,True,Philippines,58083,1990,14:09:07,-95.152454,81.3649405
Ryan,2004-07-03,(0909)8790998,True,Kyrgyz Republic,24563,1981,16:08:54,-169.576166,74.541168
Audrey,2009-07-05,0151 4960556,False,Greenland,82759,1980,09:51:26,-96.082947,81.898891
George,2003-06-26,+44(0)118 4960847,False,Western Sahara,50424,2009,08:12:00,31.330383,-12.1892735
Matthew,2007-08-03,+44(0)131 496 0298,True,Faroe Islands,55631,2020,14:09:20,179.335395,-28.410472
Nathaniel,1999-11-01,0116 4960513,True,Lesotho,44528,1997,13:55:45,32.397160,87.475335
Tina,2005-04-13,(0141) 496 0047,False,Anguilla,96086,1997,08:58:24,-99.068308,84.403606
Brent,2019-01-11,(0306)9990261,False,Gabon,62347,2021,23:49:56,33.558228,-19.0352075
Ralph,2010-01-06,+441314960034,True,Suriname,12064,1996,07:55:23,5.370464,-89.2709675
Samantha,1978-09-10,0115 496 0738,False,Mali,59842,2005,17:11:10,-5.823705,-66.771701
Brett,1985-06-30,+44(0)161 4960167,False,Pitcairn Islands,97439,1999,02:59:17,-89.499290,21.3440185
April,2019-05-17,+44(0)1174960198,True,Rwanda,74709,1971,08:16:09,78.011237,-29.1099025
Lori,2004-07-15,+44(0)115 4960723,True,Belgium,49205,1999,23:44:00,-34.560787,58.586774
Holly,2010-12-26,(0909)8790300,False,Comoros,45543,2003,02:48:30,-33.427180,-3.661458
Stacy,2019-01-08,+44(0)28 9018 0038,True,Oman,97846,1979,14:15:51,-45.956157,-35.2365895
Debra,1985-09-27,+441632 960931,True,Paraguay,83698,2005,13:35:36,-54.184734,32.644883
Kelly,2003-11-13,+44115 496 0626,False,Vanuatu,10767,1976,03:33:05,-52.809575,-28.646923
Cynthia,1991-02-15,020 74960799,False,Jamaica,50199,2013,18:01:08,-157.757645,33.605147
James,1977-04-26,+441144960862,True,Isle of Man,76999,2020,03:17:27,-50.111597,-0.515778
Hannah,1970-04-01,+4420 7496 0303,False,Turks and Caicos Islands,33896,1978,08:00:49,-34.636396,69.2298795
Selena,1987-01-27,0113 4960656,True,Iraq,27407,1972,19:44:56,-178.554766,50.5953525
Sarah,2009-02-09,0306 9990294,False,Israel,98522,2004,16:10:57,-144.400567,16.723991
Robert,1974-08-22,+441144960365,False,Kiribati,09332,1990,08:16:09,-132.371333,27.589096
Jasmine,1983-04-06,+44(0)1184960125,True,Yemen,82045,1974,13:57:38,-169.086859,89.939734
Amanda,1991-05-05,0306 9990217,False,Fiji,05826,1997,07:22:00,141.981571,-17.682991
Kathryn,2020-05-18,0113 4960121,False,Norfolk Island,28760,2002,13:44:04,-114.566573,84.6159995
Carlos,1971-03-27,0113 496 0656,True,Nicaragua,04093,1987,20:45:13,-117.403025,-63.605490
Samantha,1996-06-12,0113 4960360,True,Saint Martin,20610,2003,21:38:53,74.241767,-31.9820505
Victor,2017-06-15,+44141 496 0778,True,Poland,90169,2003,12:54:09,70.107131,-56.375530
Robert,2001-06-24,(0116) 4960950,False,Faroe Islands,29111,2014,07:36:11,-174.450146,-70.0366465
Dennis,1985-01-22,+44113 4960532,False,Kuwait,86156,1984,17:59:23,-154.731242,-47.684601
Johnathan,1971-02-08,0191 498 0201,True,Djibouti,40785,1973,15:15:47,67.000298,24.162273
John,1974-05-14,(0121) 496 0867,False,Sao Tome and Principe,68400,1972,06:26:41,80.986438,86.7151835
Anthony,2004-02-28,+44(0)28 9018 0803,True,Nigeria,95080,2008,16:36:16,119.220728,-4.9191585
Scott,1995-02-22,01134960259,True,Burundi,68368,2011,22:59:04,112.549850,34.4069985
Mark,2014-11-17,+44(0)161 4960021,False,Tuvalu,18011,1999,10:03:48,88.170170,-40.044160
Kimberly,1977-07-13,(0191) 496 0808,True,Andorra,56352,1972,19:21:28,168.220893,15.9484885
Melinda,1972-02-01,+44118 496 0980,True,Kuwait,18082,1972,05:31:26,-46.686358,1.3914165
Phillip,1987-02-22,+44(0)1174960565,True,Djibouti,13042,1986,18:27:42,-18.225834,22.1956395
Devon,1970-08-20,+44117 496 0256,True,Western Sahara,44837,1990,00:41:31,-84.530331,-42.6819775
Shawn,1988-02-28,+44141 496 0289,False,British Virgin Islands,51419,1992,01:12:54,-44.521251,-1.3931995
Anthony,1986-05-22,(0118) 4960505,False,Togo,85989,2002,00:23:10,177.753637,-50.9872655
Manuel,1992-07-05,01514960597,False,Vanuatu,58344,2014,09:29:31,-82.839326,4.691195
Cameron,1981-08-04,0115 496 0881,False,Spain,78261,2015,02:51:49,-120.353027,3.342017
Michael,2011-06-22,020 7946 0686,True,Faroe Islands,74663,2008,07:00:13,-132.582796,-74.6297735
Rebecca,1997-10-20,(0131) 496 0303,True,Zimbabwe,50513,1993,04:24:46,135.525432,10.511823
Lauren,2013-01-22,+44(0)9098790113,False,Comoros,76604,1982,10:10:16,179.523405,11.152221
Nathan,1994-12-29,+44(0)116 496 0957,True,Rwanda,95982,2017,23:14:24,22.961306,21.1212935
Cynthia,2012-02-11,01614960315,False,Korea,78821,1983,12:25:34,-4.201325,-24.5782175
Susan,1983-05-11,0909 8790705,False,Venezuela,75591,1994,00:08:09,46.190280,-39.1569835
Robert,1980-08-13,+441214960049,False,Holy See (Vatican City State),36232,1970,15:29:55,116.626509,-64.047944
Jill,1998-09-13,+44(0)29 2018050,True,Grenada,42745,1975,00:12:04,169.123324,29.873160
Daniel,2013-11-05,(0117)4960847,False,Ukraine,58775,2005,13:01:37,100.045384,64.672267
Cody,2005-03-20,01184960496,False,United States Virgin Islands,10677,1973,11:55:36,55.640650,23.191532
Tara,2006-12-11,+448081570641,True,United Kingdom,12798,1975,08:04:20,56.557908,47.6003055
Christopher,1975-06-27,+44(0)1184960090,True,Antigua and Barbuda,69839,1978,13:26:13,114.847204,-26.391636
Vincent,1986-07-08,01174960962,False,Panama,42975,2000,14:37:20,104.610992,39.1109545
James,1973-09-21,+44(0)161 496 0040,False,Bolivia,93225,1975,23:02:00,170.799761,-29.660380
Michael,1974-12-01,+44117 4960063,False,Denmark,57387,1970,09:52:40,144.590779,51.716717
Carl,2014-01-14,+44131 4960554,True,Malaysia,89411,1999,06:44:15,67.552061,84.0727075
Kimberly,2019-06-22,0118 4960237,True,Bahamas,80903,1991,04:00:39,-108.910143,-16.593605
Holly,1978-08-21,(0909) 8790067,True,French Polynesia,20936,1971,13:02:28,147.245508,77.382863
Katherine,2017-08-05,0292018206,False,Belgium,86148,2018,18:33:49,-150.307848,84.3176465
Richard,1983-07-08,+44(0)113 4960312,False,Singapore,97763,2005,17:28:44,-1.133468,-82.407929
Amy,1984-05-01,+44909 8790025,True,British Virgin Islands,36086,1987,02:50:40,-134.560871,61.7817185
Donna,1985-10-04,0118 496 0242,True,El Salvador,78073,2002,01:04:48,-5.863053,-67.5502955
Rebecca,1988-12-27,(0909)8790910,False,Portugal,36185,2009,18:50:16,100.974439,-62.085684
Jennifer,2009-12-03,+44118 4960241,True,Ireland,93989,1974,21:18:44,-107.780657,54.980445
Johnny,1994-11-19,0191 498 0895,True,Micronesia,95778,1992,08:01:51,-11.499372,19.5455965
Katherine,2002-02-15,+44118 4960851,True,Mauritania,30875,2014,19:07:42,-93.191194,-79.6641855
Leah,2013-11-28,(028) 9018662,True,Cocos (Keeling) Islands,71755,1974,03:25:49,-47.106137,58.1723985
Andrew,2004-07-18,0131 4960964,True,Falkland Islands (Malvinas),24570,1998,08:49:58,42.879274,-20.0009865
Pamela,1983-08-25,+441314960606,True,Peru,54487,1985,01:33:16,178.838199,43.8830145
Maria,2020-01-18,+44(0)1144960520,False,Estonia,32323,2012,18:54:07,63.614584,20.4627285
Kevin,1982-05-02,+44151 4960155,True,Ireland,85070,2018,09:48:21,100.335840,42.8069735
Spencer,2009-02-26,0306 9990646,False,Guinea,56399,2021,13:07:48,160.641398,82.110839
Michael,2009-07-21,+441184960010,True,Iran,23365,2021,09:45:03,42.834401,46.848714
Sandra,2009-03-11,+44(0)1214960655,False,Venezuela,67514,2000,19:07:23,145.025451,-23.949878
David,2010-04-18,0131 4960598,False,France,79711,1990,08:28:38,-55.722333,-51.645521
Amber,1980-12-25,+441414960469,False,Bahamas,50779,2013,00:19:09,-130.956105,-78.8694455
Stacy,1982-11-29,+44808 1570250,True,Thailand,19407,2017,04:02:02,-42.870305,-13.3733135
William,2008-07-17,+44(0)1214960733,True,Greece,96692,1984,04:25:16,108.408264,32.3191045
Jennifer,1976-04-05,+44161 4960183,True,Venezuela,74517,2006,01:24:32,168.290148,10.6624145
Maureen,1995-08-07,+44131 4960948,True,Singapore,92621,2019,03:51:47,167.210222,8.618157
Alyssa,1994-06-12,(0121) 4960599,True,Russian Federation,05760,1971,04:08:57,-95.077040,66.6123275
Brian,1990-10-16,+44121 4960320,True,New Caledonia,31807,1992,02:24:36,4.623667,79.970008
Samantha,2004-06-09,+441914960468,True,Poland,19359,1971,06:22:23,-121.851943,-73.206623
Johnathan,2017-08-11,(0116) 4960289,False,Aruba,17595,2007,23:16:41,-164.917255,89.116491
Stephanie,2000-09-09,+4420 7496 0368,False,Guadeloupe,94812,2017,10:57:12,-139.818077,-82.272386
Kenneth,2011-04-08,+441134960578,False,Yemen,60376,1977,20:12:07,39.558679,-64.083664
Amanda,2004-09-20,(029) 2018 0816,False,Falkland Islands (Malvinas),45837,1977,22:07:15,115.979020,-32.5701405
Desiree,1992-08-13,+44289018045,False,Panama,68275,1995,15:59:24,-178.416508,-27.893712
Dustin,2017-08-18,(0909) 879 0337,True,Macedonia,35364,1997,18:02:37,32.336645,52.802131
Matthew,2000-08-04,+441514960868,False,Uruguay,02328,1986,09:24:44,64.295699,62.3444735
Julie,1995-11-11,+4420 7496 0904,True,Monaco,80008,1977,13:31:14,-134.196655,45.7041565
Craig,2019-08-13,(0118) 4960738,True,Chile,01857,2005,20:05:22,-89.947473,-66.683800
Nicole,1985-06-03,03069990581,False,Ireland,71799,2021,03:10:22,-145.563665,11.605384
Taylor,2006-02-01,01134960449,False,Guernsey,88461,1998,03:53:45,110.279114,-0.8755135
Brian,2010-01-09,029 2018811,True,Estonia,61908,1998,18:19:28,-57.179937,4.7477635
Travis,1987-02-28,0116 496 0934,False,Zimbabwe,83286,2009,17:54:36,-89.337734,-51.5043655
Jeff,2014-04-03,+44(0)1632 960 297,False,Honduras,73734,1995,17:07:40,-82.162943,64.5549185
Brandon,2020-08-19,+44(0)306 999 0710,True,Cote d'Ivoire,78303,1982,13:04:14,1.791571,-46.899111
Gregory,2008-04-19,(020)74960508,True,South Georgia and the South Sandwich Islands,03853,1975,16:28:23,-136.838773,53.0606125
John,2014-05-19,+44116 496 0481,True,Germany,62522,2007,17:15:50,-146.189054,14.2176165
Alec,1984-03-01,+44(0)191 496 0428,True,Zambia,23522,1983,23:43:48,-177.528914,-58.180001
Scott,1991-01-22,0114 496 0557,False,Vietnam,55058,2021,05:13:06,-165.882693,-7.3066965
Shari,2003-08-27,(0118) 496 0344,False,Israel,36541,1994,10:25:57,67.855242,-10.7333645
Fernando,1993-10-03,+44141 496 0638,False,Vietnam,76228,2018,08:13:16,28.121708,28.0024755
William,2019-11-14,+44(0)808 157 0290,True,Algeria,08028,1993,16:13:54,-139.112505,-36.0707875
Anthony,1999-09-13,+44306 999 0821,True,Finland,58470,1984,05:48:37,-171.891034,-37.329471
Robert,1996-12-31,+44(0)306 9990613,True,Antigua and Barbuda,99765,2017,18:18:33,-5.467169,20.8665135
Todd,1997-03-09,(0808)1570609,False,Oman,10677,1981,07:00:56,55.227970,86.6537565
Christina,2000-08-26,+44(0)141 4960924,False,Venezuela,77439,1992,10:27:59,-47.369439,33.550277
Regina,2010-07-26,+4420 7496 0458,True,Kyrgyz Republic,40642,2014,11:41:55,168.612867,-52.9306305
Michael,1976-02-09,(0113) 4960025,True,Afghanistan,72535,2014,11:10:01,-5.904044,-84.078068
Amy,1985-07-02,(0808)1570519,True,Malaysia,39037,2000,13:06:38,-94.001737,35.0622145
David,2015-06-15,0808 1570752,True,Palau,74656,1997,00:30:32,163.459805,64.6768005
Kelly,1977-06-15,+44(0)118 4960131,True,Egypt,29408,1970,20:18:21,-148.561680,-34.307479
